2011_09_26 0001 108 0
2011_09_26 0014 314 0
2011_09_26 0017 114 0
2011_09_26 0018 270 0
2011_09_26 0019 481 0
2011_09_26 0020 86 0
2011_09_26 0022 800 0
2011_09_26 0023 474 0
2011_09_26 0032 390 0
2011_09_26 0035 131 0
2011_09_26 0036 803 0
2011_09_26 0039 395 0
2011_09_26 0046 125 0
2011_09_26 0048 22 0
2011_09_26 0051 438 0
2011_09_26 0052 78 0
2011_09_26 0056 294 0
2011_09_26 0057 361 0
2011_09_26 0060 78 0
2011_09_26 0061 703 0
2011_09_26 0064 570 0
2011_09_26 0079 100 0
2011_09_26 0084 383 0
2011_09_26 0086 706 0
2011_09_26 0087 729 0
2011_09_26 0093 433 0
2011_09_26 0096 475 0
2011_09_26 0106 227 0
2011_09_26 0113 87 0
2011_09_28 0001 106 0
2011_09_28 0002 376 0
2011_09_28 0016 186 0
2011_09_28 0021 209 0
2011_09_28 0037 89 0
2011_09_28 0038 110 0
2011_09_29 0004 339 0
2011_09_29 0071 1059 0
2011_09_30 0016 279 0
2011_09_30 0018 2762 0
2011_09_30 0020 1104 0
2011_09_30 0027 1106 0
2011_09_30 0028 5177 0
2011_09_30 0033 1594 0
2011_10_03 0027 4544 0
2011_10_03 0042 1170 0
